ID,ProductName,ProductCode,Description,LumenOutput,CircuitWattage
1,MOD SLIM,MODRS L17 PF,"MOD Slim, Lay-In, 600x600, 1,250llm, Perforated Panels, Colour 84*",1250,11.7
2,MOD SLIM,MODRS L22 PF,"MOD Slim, Lay-In, 600x600, 1,625llm, Perforated Panels, Colour 84*",1625,14.5
3,MOD SLIM,MODRS L29,"MOD Slim, Lay-In, 600x600, 2,248llm, Colour 84*",2248,17.1
4,MOD SLIM,MODRS L35,"MOD Slim, Lay-In, 600x600, 2,718llm, Colour 84*",2718,17.1
5,MOD SLIM,MODRS L35 PF,"MOD Slim, Lay-In, 600x600, 2,280llm, Perforated Panels, Colour 84*",2280,21.6
6,MOD SLIM,MODRS L45,"MOD Slim, Lay-In, 600x600, 3,484llm, Colour 84",3484,21.6
7,MOD SLIM,MODRS L45 PF,"MOD Slim, Lay-In, 600x600, 2,920llm, Perforated Panels, Colour 84",2920,26.5
8,MOD SLIM,MODRS L55,"MOD Slim, Lay-In, 600x600, 4,257llm, Colour 84",4257,26.5
9,MOD SLIM,MODRS L68,"MOD Slim, Lay-In, 600x600, 5,252llm, Colour 84",5252,33.1
10,MOD SLIM,MODRS L76,"MOD Slim, Lay-In, 600x600, 5,890llm, Colour 84",5890,39.9
11,MOD SLIM,MODRS 123 L35,"MOD Slim, Lay-In, 1200x300, 2,436llm, Colour 84*",2436,45.1
12,MOD SLIM,MODRS 123 L45,"MOD Slim, Lay-In, 1200x300, 3,134llm, Colour 84",3134,21.6
13,MOD SLIM,MODRS 126 L58,"MOD Slim, Lay-In, 1200x600, 4,648llm, Colour 84*",4648,26.5
14,MOD SLIM,MODRS 126 L70,"MOD Slim, Lay-In, 1200x600, 5,532llm, Colour 84*",5532,38.6
15,MOD SLIM,MODRS 126 L90,"MOD Slim, Lay-In, 1200x600, 7,268llm, Colour 84",7268,50.2
16,MOD SLIM,MODRS 126 L136,"MOD Slim, Lay-In, 1200x600, 10,904llm, Colour 84",10904,80.4
17,MOD SLIM,MODRS 126 L152,"MOD Slim, Lay-In, 1200x600, 12,160llm, Colour 84",12160,87.1
18,MOD OFFICE,MODRO 55 L25,"MOD Office, Lay-In, 500x500, 1,813llm, Colour 84",1813,15.9
19,MOD OFFICE,MODRO 55 L31,"MOD Office, Lay-In, 500x500, 2,269llm, Colour 84",2269,20.1
20,MOD OFFICE,MODRO 55 L37,"MOD Office, Lay-In, 500x500, 2,725llm, Colour 84",2725,24.4
21,MOD OFFICE,MODRO 55 L45,"MOD Office, Lay-In, 500x500, 3,373llm, Colour 84",3373,27.4
22,MOD OFFICE,MODRO 55 L50,"MOD Office, Lay-In, 500x500, 3,767llm, Colour 84",3767,30.9
23,MOD OFFICE,MODRO L25,"MOD Office, Lay-In, 600x600, 1,900llm, Colour 84",1900,15.9
24,MOD OFFICE,MODRO L31,"MOD Office, Lay-In, 600x600, 2,297llm, Colour 84",2297,20.1
25,MOD OFFICE,MODRO L37,"MOD Office, Lay-In, 600x600, 2,767llm, Colour 84",2767,24.4
26,MOD OFFICE,MODRO L45,"MOD Office, Lay-In, 600x600, 3,325llm, Colour 84",3325,27.4
27,MOD OFFICE,MODRO L50,"MOD Office, Lay-In, 600x600, 3,711llm, Colour 84",3711,30.9
28,MOD OFFICE,MODPO 55 L25,"MOD Office, Pull-Up, 500x500, 1,813llm, Colour 84",1813,15.9
29,MOD OFFICE,MODPO 55 L31,"MOD Office, Pull-Up, 500x500, 2,269llm, Colour 84",2269,20.1
30,MOD OFFICE,MODPO 55 L37,"MOD Office, Pull-Up, 500x500, 2,725llm, Colour 84",2725,24.4
31,MOD OFFICE,MODPO 55 L45,"MOD Office, Pull-Up, 500x500, 3,373llm, Colour 84",3373,27.4
32,MOD OFFICE,MODPO 55 L50,"MOD Office, Pull-Up, 500x500, 3,767llm, Colour 84",3767,30.9
33,MOD OFFICE,MODPO L25,"MOD Office, Pull-Up, 600x600, 1,900llm, Colour 84",1900,15.9
34,MOD OFFICE,MODPO L31,"MOD Office, Pull-Up, 600x600, 2,297llm, Colour 84",2297,20.1
35,MOD OFFICE,MODPO L37,"MOD Office, Pull-Up, 600x600, 2,767llm, Colour 84",2767,24.4
36,MOD OFFICE,MODPO L45,"MOD Office, Pull-Up, 600x600, 3,328llm, Colour 84",3328,27.4
37,MOD OFFICE,MODPO L50,"MOD Office, Pull-Up, 600x600, 3,711llm, Colour 84",3711,30.9
39,MOD CAELUS,MCAR L35 CL1205,"Mod Caelus, 600x600, Lay-In, 1,060llm, Cloud Image, Colour 84",1060,21.6
40,MOD CAELUS,MCAR L45 CL1205,"Mod Caelus, 600x600, Lay-In, 1,354llm, Cloud Image, Colour 84",1354,26.5
41,MOD CAELUS,MCAR 126 L70 CL1208,"Mod Caelus, 1200x600, Lay-In, 2,107llm, Cloud Image, Colour 84",2107,38.6
42,MOD CAELUS,MCAR 126 L90 CL1208,"Mod Caelus, 1200x600, Lay-In, 2,709llm, Cloud Image, Colour 84",2709,50.2
43,MOD CAELUS,MCAR L35 2X2 CL12046,"Mod Caelus, 600x600, Lay-In, 1,060llm, 4X 600x600 luminaires Cloud, Colour 84",1060,21.6
44,MOD CAELUS,MCAP L35 CL1205,"Mod Caelus, 600x600, Pull-Up, 1,060llm, Cloud Image, Colour 84",1060,21.6
45,MOD CAELUS,MCAP L45 CL1205,"Mod Caelus, 600x600, Pull-Up, 1,354llm, Cloud Image, Colour 84",1354,26.5
46,MOD CAELUS,MCAP 126 L70 CL1208,"Mod Caelus, 1200x600, Pull-Up, 2,107llm, Cloud Image, Colour 84",2107,38.6
